1,register-radiation,"[-0.0322999954223632, 0.056706428527832]",waypoint
2,move,"[-2.123725891113281, -5.286971092224121]",waypoint
3,register-radiation,"[-2.123725891113281, -5.286971092224121]",waypoint
4,move,"[-3.267972946166992, -5.254915237426758]",waypoint
5,register-radiation,"[-3.267972946166992, -5.254915237426758]",waypoint
6,move,"[-3.925074577331543, -6.478175163269043]",waypoint
7,register-radiation,"[-3.925074577331543, -6.478175163269043]",waypoint
8,move,"[-2.6309947967529297, -6.7042646408081055]",waypoint
9,register-radiation,"[-2.6309947967529297, -6.7042646408081055]",waypoint
10,move,"[-1.4070329666137695, -6.626125335693359]",waypoint
11,register-radiation,"[-1.4070329666137695, -6.626125335693359]",waypoint
12,move,"[0.0156641006469726, -3.964311599731445]",waypoint
13,register-radiation,"[0.0156641006469726, -3.964311599731445]",waypoint
14,move,"[-1.0400714874267578, -3.993097305297852]",waypoint
15,register-radiation,"[-1.0400714874267578, -3.993097305297852]",waypoint
16,move,"[-1.998824119567871, -4.01506233215332]",waypoint
17,register-radiation,"[-1.998824119567871, -4.01506233215332]",waypoint
18,move,"[-2.944549560546875, -4.053982734680176]",waypoint
19,register-radiation,"[-2.944549560546875, -4.053982734680176]",waypoint
20,move,"[-3.1271705627441406, -2.033329963684082]",waypoint
21,register-radiation,"[-3.1271705627441406, -2.033329963684082]",waypoint
22,move,"[-2.017702102661133, -1.988779067993164]",waypoint
23,register-radiation,"[-2.017702102661133, -1.988779067993164]",waypoint
24,move,"[-1.0341663360595703, -1.999770164489746]",waypoint
25,register-radiation,"[-1.0341663360595703, -1.999770164489746]",waypoint
26,move,"[-0.0355825424194335, -2.032480239868164]",waypoint
27,register-radiation,"[-0.0355825424194335, -2.032480239868164]",waypoint
28,move,"[0.9594030380249025, -1.9780254364013672]",waypoint
29,register-radiation,"[0.9594030380249025, -1.9780254364013672]",waypoint
30,move,"[0.9345312118530272, -1.0321807861328125]",waypoint
31,register-radiation,"[0.9345312118530272, -1.0321807861328125]",waypoint
32,move,"[0.9946775436401368, -0.0172901153564453]",waypoint
33,register-radiation,"[0.9946775436401368, -0.0172901153564453]",waypoint
34,move,"[-5.126544952392578, -5.17695426940918]",waypoint
35,register-radiation,"[-5.126544952392578, -5.17695426940918]",waypoint
36,inspect,"[-5.126544952392578, -5.17695426940918]",object3
37,move,"[-0.4028682708740234, -6.472708702087402]",waypoint
38,register-radiation,"[-0.4028682708740234, -6.472708702087402]",waypoint
39,inspect,"[-0.4028682708740234, -6.472708702087402]",object2
40,move,"[2.57498836517334, -1.9012956619262693]",waypoint
41,register-radiation,"[2.57498836517334, -1.9012956619262693]",waypoint
42,inspect,"[2.57498836517334, -1.9012956619262693]",object1
43,move,"[-0.0322999954223632, 0.056706428527832]",waypoint
