1,move,"[-0.010416030883789, -4.010639190673828]",waypoint
2,register-radiation,"[-0.010416030883789, -4.010639190673828]",waypoint
3,inspect,"[-0.010416030883789, -4.010639190673828]",object1
4,move,"[-0.0078611373901367, -0.9847574234008788]",waypoint
5,register-radiation,"[-0.0078611373901367, -0.9847574234008788]",waypoint
6,move,"[-0.0213308334350585, -3.010516166687012]",waypoint
7,register-radiation,"[-0.0213308334350585, -3.010516166687012]",waypoint
8,move,"[0.023655891418457, -4.975879669189453]",waypoint
9,register-radiation,"[0.023655891418457, -4.975879669189453]",waypoint
10,move,"[-0.0855283737182617, -2.0470895767211914]",waypoint
11,register-radiation,"[-0.0855283737182617, -2.0470895767211914]",waypoint
12,move,"[0.023655891418457, -4.975879669189453]",waypoint
13,move,"[-0.0940732955932617, -5.762591361999512]",waypoint
14,register-radiation,"[-0.0940732955932617, -5.762591361999512]",waypoint
15,move,"[0.023655891418457, -4.975879669189453]",waypoint
16,move,"[-0.0810909271240234, -8.345015525817871]",waypoint
17,register-radiation,"[-0.0810909271240234, -8.345015525817871]",waypoint
18,move,"[0.023655891418457, -4.975879669189453]",waypoint
19,move,"[-0.2073278427124023, -7.102699279785156]",waypoint
20,register-radiation,"[-0.2073278427124023, -7.102699279785156]",waypoint
21,move,"[0.023655891418457, -4.975879669189453]",waypoint
22,move,"[-1.175724983215332, -3.05061149597168]",waypoint
23,register-radiation,"[-1.175724983215332, -3.05061149597168]",waypoint
24,move,"[0.023655891418457, -4.975879669189453]",waypoint
25,move,"[-1.2670660018920898, -4.158780097961426]",waypoint
26,register-radiation,"[-1.2670660018920898, -4.158780097961426]",waypoint
27,inspect,"[-1.2670660018920898, -4.158780097961426]",object3
28,move,"[0.023655891418457, -4.975879669189453]",waypoint
29,move,"[-1.8202133178710935, -2.975918769836426]",waypoint
30,register-radiation,"[-1.8202133178710935, -2.975918769836426]",waypoint
31,move,"[0.023655891418457, -4.975879669189453]",waypoint
32,move,"[-0.7112255096435547, -9.339797973632812]",waypoint
33,move,"[0.023655891418457, -4.975879669189453]",waypoint
34,move,"[-1.330887794494629, -5.03082275390625]",waypoint
35,register-radiation,"[-1.330887794494629, -5.03082275390625]",waypoint
36,move,"[0.023655891418457, -4.975879669189453]",waypoint
37,move,"[-0.7112255096435547, -9.339797973632812]",waypoint
38,register-radiation,"[-0.7112255096435547, -9.339797973632812]",waypoint
39,move,"[0.023655891418457, -4.975879669189453]",waypoint
40,move,"[-0.9256105422973632, -9.107548713684082]",waypoint
41,move,"[0.023655891418457, -4.975879669189453]",waypoint
42,move,"[-1.3065519332885742, -6.637836456298828]",waypoint
43,move,"[0.023655891418457, -4.975879669189453]",waypoint
44,move,"[-2.5858850479125977, -3.393125534057617]",waypoint
45,move,"[0.023655891418457, -4.975879669189453]",waypoint
46,move,"[-0.9256105422973632, -9.107548713684082]",waypoint
47,register-radiation,"[-0.9256105422973632, -9.107548713684082]",waypoint
48,move,"[0.023655891418457, -4.975879669189453]",waypoint
49,move,"[-1.3065519332885742, -6.637836456298828]",waypoint
50,register-radiation,"[-1.3065519332885742, -6.637836456298828]",waypoint
51,move,"[0.023655891418457, -4.975879669189453]",waypoint
52,move,"[-2.5858850479125977, -3.393125534057617]",waypoint
53,register-radiation,"[-2.5858850479125977, -3.393125534057617]",waypoint
54,move,"[0.023655891418457, -4.975879669189453]",waypoint
55,move,"[-1.4557132720947266, -8.359051704406738]",waypoint
56,move,"[0.023655891418457, -4.975879669189453]",waypoint
57,move,"[-2.6054906845092773, -4.204794883728027]",waypoint
58,move,"[0.023655891418457, -4.975879669189453]",waypoint
59,move,"[-1.4557132720947266, -8.359051704406738]",waypoint
60,inspect,"[-1.4557132720947266, -8.359051704406738]",object2
61,move,"[0.023655891418457, -4.975879669189453]",waypoint
62,move,"[-2.6054906845092773, -4.204794883728027]",waypoint
63,register-radiation,"[-2.6054906845092773, -4.204794883728027]",waypoint
64,move,"[0.023655891418457, -4.975879669189453]",waypoint
65,move,"[-1.4557132720947266, -8.359051704406738]",waypoint
66,register-radiation,"[-1.4557132720947266, -8.359051704406738]",waypoint
67,move,"[0.023655891418457, -4.975879669189453]",waypoint
68,move,"[-2.742687225341797, -5.9219465255737305]",waypoint
69,move,"[0.023655891418457, -4.975879669189453]",waypoint
70,move,"[-2.742687225341797, -5.9219465255737305]",waypoint
71,register-radiation,"[-2.742687225341797, -5.9219465255737305]",waypoint
72,move,"[0.023655891418457, -4.975879669189453]",waypoint
73,move,"[-3.02841854095459, -7.939396858215332]",waypoint
74,move,"[-3.2291698455810547, -8.889455795288086]",waypoint
75,move,"[0.023655891418457, -4.975879669189453]",waypoint
76,move,"[-3.02841854095459, -7.939396858215332]",waypoint
77,register-radiation,"[-3.02841854095459, -7.939396858215332]",waypoint
78,move,"[-3.2291698455810547, -8.889455795288086]",waypoint
79,register-radiation,"[-3.2291698455810547, -8.889455795288086]",waypoint
80,move,"[-0.0078611373901367, -0.9847574234008788]",waypoint
