84,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
85,move,"[7.61183500289917, -2.595266580581665]",waypoint
86,register-radiation,"[7.61183500289917, -2.595266580581665]",radiation
87,read-pressure,"[7.61183500289917, -2.595266580581665]",box-obj7
88,open-valve,"[7.61183500289917, -2.595266580581665]",pipe-obj7
89,inspect-pipes,"[7.61183500289917, -2.595266580581665]",pipe-obj7
90,close-valve,"[7.61183500289917, -2.595266580581665]",pipe-obj7
91,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
92,switch-off,"[-7.608221530914307, 3.3208255767822266]",tvessel-obj1
93,move,"[-6.694038391113281, -5.239445686340332]",waypoint
94,inspect-toggle-vessel,"[-6.694038391113281, -5.239445686340332]",tvessel-obj1
95,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
96,switch-on,"[-7.608221530914307, 3.3208255767822266]",tvessel-obj1
97,move,"[-0.1218318939208984, -0.0259771347045898]",waypoint
